"state","acclength","areacode","interplan","vmailplan","vmailmess","daycalls","daycharge","evecalls","evecharge","nightcalls","nightcharge","intlcalls","intlcharge","custservcalls","churn"
"NV",76,510,"yes","no",0,120,40.97,96,19.7,67,9.91,1,2.67,1,"yes"
"WV",93,415,"no","no",0,95,24.09,100,18.79,71,10.22,3,2.75,0,"no"
"WA",83,408,"no","no",0,96,22.92,78,14.21,123,7.27,5,2.08,2,"no"
"KS",123,415,"no","no",0,119,27.73,51,21.2,77,7.57,10,2.43,1,"no"
"VT",64,408,"no","no",0,116,24.74,110,19.41,91,12.3,8,2.4,1,"no"
"GA",107,510,"no","no",0,97,33.07,131,15.84,106,8.02,1,3.43,2,"no"
"CO",110,510,"no","no",0,93,22.42,106,23.18,105,8.68,4,1.92,1,"no"
"AK",96,408,"no","yes",29,91,25.5,75,13.55,55,10.26,3,2.3,1,"no"
"TN",47,415,"no","yes",30,93,33.42,140,20.52,118,10.17,4,3.48,2,"no"
"KY",115,510,"no","no",0,107,16.95,96,12.33,99,6.72,4,3.81,2,"no"
"PA",69,415,"no","no",0,88,24.41,86,12.05,83,8.73,5,2.92,3,"no"
"CT",163,408,"no","yes",40,56,39.42,91,18,74,12.08,3,3.32,2,"no"
"CT",90,415,"no","no",0,80,6.43,105,13.2,111,7.88,5,3.83,3,"no"
"MN",98,415,"no","no",0,107,12.38,103,15.84,110,7.89,4,2.84,3,"no"
"WY",90,408,"no","yes",39,89,16.12,91,18.62,65,8.88,5,3.08,1,"no"
"PA",174,415,"no","yes",15,143,37.71,115,17.9,109,9.98,9,3.35,1,"no"
"OR",95,415,"no","no",0,120,45.73,120,19.86,61,8.07,4,1.97,2,"yes"
"PA",79,415,"no","no",0,114,45.61,111,15.77,88,11.91,7,1.7,1,"yes"
"OK",123,415,"no","yes",27,127,33.78,105,21.17,124,7.79,5,3.38,1,"no"
"ID",114,415,"no","no",0,100,34.36,102,16.63,120,13.13,5,3.59,2,"no"
"PA",141,510,"no","no",0,113,36.65,81,17.05,107,6.92,6,3.35,1,"no"
"NM",132,408,"no","no",0,107,28.88,121,17.8,79,9.27,2,3.11,1,"no"
"FL",133,510,"no","no",0,85,34.29,116,14.4,80,12.88,4,1.62,0,"no"
"VT",93,510,"no","yes",32,117,37.18,61,9.78,85,8.67,5,2.54,2,"no"
"MA",34,415,"no","no",0,89,49.93,71,23.16,76,8.02,10,2.97,2,"yes"
"DE",96,415,"no","yes",26,96,29.89,84,17.56,105,8.01,2,3,2,"no"
"FL",144,510,"no","no",0,95,47.35,90,20.46,90,5.4,5,3.13,1,"yes"
"ID",24,408,"no","yes",29,105,40.17,114,16.22,105,5.81,2,1.94,3,"no"
"NV",96,408,"no","no",0,68,33.61,53,21.29,67,8.15,3,2.84,3,"no"
"OH",146,415,"no","no",0,93,28.82,71,19.63,115,12.14,7,2.43,2,"no"
"ID",138,415,"yes","yes",17,116,38.28,88,14.74,99,6.56,4,3.16,0,"no"
"NE",99,415,"no","no",0,66,34,104,9.17,82,10.52,2,3.08,3,"no"
"NC",83,510,"no","yes",36,87,16.3,105,22.24,109,10.29,4,3.59,0,"no"
"ME",36,510,"no","yes",25,110,25.98,67,20.64,74,6.63,2,2.46,1,"no"
"MI",70,510,"no","no",0,102,22.08,133,17.74,93,10.41,3,3.86,1,"no"
"AZ",109,415,"yes","no",0,85,45.63,131,12.8,84,13.41,8,2.62,2,"yes"
"AZ",100,415,"no","no",0,152,32.05,115,12.61,88,8.09,5,4.1,2,"no"
"HI",104,408,"no","no",0,97,29,111,13.78,131,9.48,1,1.65,1,"no"
"NJ",106,415,"no","no",0,124,32.54,116,17.06,76,10.35,3,2.21,1,"no"
"MS",84,510,"no","no",0,96,12.8,113,15.29,134,8.72,1,3.32,1,"no"
"MA",80,510,"no","no",0,123,25.47,75,23.49,75,10.86,7,2.94,2,"no"
"SC",100,510,"no","no",0,87,19.7,56,9.46,77,7.66,4,1.92,1,"no"
"MN",99,408,"no","no",0,86,21.9,105,17.33,131,12.72,4,3.81,2,"no"
"WV",50,510,"no","no",0,108,22.39,103,18.4,126,8.82,5,2.97,1,"no"
"MS",111,415,"no","yes",36,123,16.46,105,14.5,85,7.47,4,3.62,2,"no"
"TX",70,415,"no","no",0,95,39.58,111,25.79,104,11.5,7,3.48,0,"yes"
"HI",97,415,"no","yes",43,105,20.59,115,22.12,100,10.01,5,2.24,3,"no"
"WA",130,510,"no","no",0,70,21.13,99,23.01,83,10.78,6,0.95,0,"no"
"WI",92,415,"no","no",0,101,26.81,100,25.38,99,9.76,3,3.73,1,"no"
"CO",119,408,"no","no",0,68,21.13,88,17.6,93,7.08,1,4,0,"no"
"NV",115,415,"no","no",0,125,48.69,74,17.48,141,8.61,6,1.86,1,"yes"
"RI",134,415,"no","no",0,95,24.09,101,17.48,60,9.83,6,2.38,0,"no"
"VA",127,408,"no","yes",25,91,29.41,64,20.89,99,13.5,3,1.3,0,"no"
"NJ",80,415,"no","no",0,120,45.68,147,25.59,140,7.52,1,1.57,2,"yes"
"ND",153,415,"no","yes",31,130,37.15,103,11.41,105,5.35,6,2.54,0,"no"
"MN",85,415,"no","no",0,114,43.4,83,16.54,78,12.45,5,1,3,"no"
"HI",79,415,"no","no",0,124,7.12,95,17.94,55,10.71,5,3.08,1,"no"
"ND",35,415,"no","no",0,87,44.34,78,21.94,123,5.91,2,1.57,1,"no"
"WI",120,408,"no","yes",26,94,40.7,88,22.05,132,10.71,3,2.08,0,"no"
"MN",68,510,"no","no",0,94,38.54,129,14.31,117,8.49,1,2.75,0,"no"
"DC",60,408,"no","no",0,147,30.48,89,17.76,98,11.17,6,3.65,1,"yes"
"KS",120,510,"no","no",0,110,26.86,103,16.75,132,6.97,5,2.7,1,"no"
"WV",124,415,"no","no",0,107,26.76,112,14.26,102,8.5,3,2.38,3,"no"
"ME",23,510,"no","no",0,74,19.23,95,14.35,126,11.83,2,1.86,1,"yes"
"NY",181,415,"yes","no",0,83,27.42,83,10.57,98,11.79,3,3.81,0,"yes"
"VT",63,415,"no","no",0,92,24.23,102,17.71,120,10.3,2,2.03,2,"no"
"NC",54,415,"yes","no",0,108,32.39,108,22.07,111,6.37,2,2.62,2,"yes"
"MO",80,408,"yes","yes",15,110,27.08,120,14.5,82,6.35,5,3.21,1,"no"
"NC",118,408,"yes","yes",39,106,26.15,111,10.48,103,5.3,6,2.48,1,"no"
"NJ",42,408,"yes","no",0,127,30.72,94,14.84,114,7.44,6,3.24,2,"no"
"OH",134,408,"no","no",0,105,34.46,90,19.12,108,11.43,7,3.27,0,"no"
"TX",66,415,"no","yes",35,100,32.44,93,22.21,108,9.43,6,2.4,0,"no"
"WA",66,415,"no","no",0,102,34.87,109,19.78,95,11.7,6,2.48,2,"no"
"TN",127,415,"no","yes",28,124,40.05,113,20.13,127,10.85,2,2.08,1,"no"
"HI",146,510,"no","no",0,77,32.18,128,13.25,83,8.37,3,2,0,"no"
"WY",93,408,"no","yes",42,101,28.37,84,23.22,106,7.69,1,3.11,1,"no"
"CT",77,415,"no","no",0,87,41.68,83,21.6,91,10.77,4,2.03,0,"yes"
"NJ",125,415,"no","no",0,64,30.99,121,11.88,96,7.72,7,3.13,2,"no"
"AL",115,510,"no","yes",14,86,32.69,90,7.54,120,10.32,3,2.84,2,"no"
"MN",115,510,"yes","no",0,110,20.74,100,18.72,124,8.09,2,2.92,2,"yes"
"NC",114,408,"no","no",0,101,32.81,81,21.25,79,6,2,2.59,2,"no"
"OH",106,415,"no","no",0,112,26.96,114,18.7,106,11.38,3,2.46,0,"no"
"ND",118,415,"no","yes",39,125,15.56,113,18.69,99,10.31,8,3.43,2,"no"
"CO",59,510,"no","no",0,92,26.11,88,17.47,89,5.15,10,3.38,1,"no"
"ND",87,415,"yes","yes",40,79,37.67,74,13.35,124,10.01,3,3.11,1,"no"
"NY",21,415,"no","no",0,81,41.6,117,14.28,87,12.67,1,1.78,1,"no"
"WI",142,408,"no","yes",24,103,40.77,65,24.3,106,11.55,4,2.57,0,"no"
"WY",62,415,"no","no",0,132,29.31,100,19.59,109,10.27,5,2.97,0,"no"
"OR",149,415,"no","no",0,83,41.23,97,20.86,80,9.88,3,2.7,3,"yes"
"CO",54,510,"no","yes",39,82,19.99,60,13.53,113,10.64,10,3.05,2,"no"
"LA",112,510,"no","no",0,127,29.67,71,22.04,120,7.67,7,3.05,1,"no"
"AL",68,510,"no","no",0,83,26.74,85,18.78,129,9.85,7,3.24,1,"no"
"TX",201,415,"no","yes",21,97,32.64,81,20.32,125,5.22,3,4.08,1,"no"
"PA",88,510,"no","no",0,76,37.09,60,14.39,99,6.35,1,2.16,1,"no"
"IL",85,415,"no","yes",29,97,24.58,102,11.9,148,7.44,3,2.94,1,"no"
"DE",51,415,"yes","no",0,108,26.11,85,19.8,92,9.64,4,3.81,0,"yes"
"MO",45,510,"no","yes",29,104,23.09,101,18.91,92,10.6,6,2.13,2,"no"
"AR",116,510,"no","no",0,69,27.32,106,12.48,144,12.95,5,2.21,0,"no"
"OH",146,408,"no","yes",31,91,34.43,108,20.52,77,7.63,2,2.11,1,"no"
"WI",63,510,"no","yes",34,119,25.87,91,19.3,103,8.81,5,3.32,1,"no"
"GA",133,510,"no","no",0,90,38.66,135,6.22,99,5.14,7,1.27,0,"no"
"KY",125,408,"no","no",0,115,32.57,108,17.48,123,9.46,3,2.48,2,"no"
"OH",72,510,"no","no",0,111,23.61,102,17.99,91,8.08,3,2.92,1,"no"
"TN",130,408,"no","no",0,102,21.59,107,17.59,99,10.43,6,1.65,0,"no"
"SD",97,415,"no","no",0,87,28.66,105,22.03,123,12.59,4,1.97,1,"no"
"NY",54,415,"no","no",0,73,48.72,108,18.97,107,9.17,5,3.11,1,"yes"
"GA",160,415,"no","yes",29,121,27.98,108,22.34,131,5.57,4,4.1,1,"no"
"TX",79,415,"no","no",0,90,24.48,91,11.54,129,9.56,4,3.51,1,"no"
"MI",59,415,"no","no",0,65,34.73,123,21.02,94,9.66,4,3.24,1,"no"
"ND",132,510,"no","no",0,80,27.74,90,14.25,90,3.94,10,1.67,1,"no"
"NE",21,510,"no","no",0,110,38.25,111,20.76,93,9.95,4,2.89,0,"no"
"SD",93,415,"no","no",0,103,29.94,130,16.97,96,11.88,6,2.3,2,"no"
"AK",101,510,"no","no",0,105,29.73,75,22.27,93,9.45,5,2.3,1,"no"
"CT",125,415,"yes","no",0,118,31.84,111,13.66,112,11.87,2,2.59,0,"yes"
"CO",63,415,"no","no",0,84,36.01,137,19.63,99,9.77,9,2.89,3,"no"
"MD",107,415,"no","no",0,102,41.12,117,10.79,92,8.35,6,3.16,0,"no"
"ND",110,408,"no","no",0,103,33.34,123,16.97,71,6.12,1,3.48,3,"no"
"NH",83,415,"no","no",0,100,39.32,84,17.88,106,9.78,2,3.35,3,"no"
"MN",117,408,"no","no",0,104,27.47,119,16.69,111,13.27,2,3.73,1,"no"
"NH",115,510,"no","no",0,148,18.65,87,19.02,96,10.81,8,4.16,3,"no"
"CO",156,408,"yes","no",0,119,47.09,106,20.26,96,4.25,3,2.24,1,"no"
"KY",89,408,"no","no",0,83,32.66,88,13.91,138,7.64,3,1.65,0,"no"
"KY",72,415,"no","no",0,147,33.73,121,18.44,125,5.08,4,3.54,0,"no"
"IN",101,415,"no","yes",42,82,35.56,74,13.57,100,8.17,3,2.57,0,"no"
"SD",116,408,"no","no",0,119,28.53,123,12.07,128,8.58,4,1.97,2,"no"
"DE",78,408,"no","no",0,140,23.66,113,16.27,125,12.89,3,3.19,3,"no"
"OR",117,415,"no","yes",17,82,37.62,100,14.25,87,11.82,4,1.19,0,"no"
"NE",56,510,"no","no",0,84,20.67,115,14.05,95,10.98,2,2.4,1,"no"
"OH",123,408,"no","yes",39,99,45.97,110,20.83,113,4.9,7,4.16,1,"no"
"OH",127,408,"no","no",0,94,23.73,112,20.48,88,5.72,4,2.38,2,"no"
"AR",116,415,"no","yes",23,78,43.01,121,11.81,104,12.5,3,3.19,2,"no"
"KS",138,510,"no","yes",26,83,31.26,93,20.46,125,8.36,3,4.05,1,"no"
"TX",120,415,"no","no",0,108,34.56,66,22.09,103,5.22,2,2.11,3,"no"
"WI",102,408,"no","no",0,106,34.1,127,12.96,128,8.97,2,2.08,3,"no"
"OR",95,415,"no","no",0,96,28.49,89,14.96,113,11.29,6,3.62,2,"no"
"VA",102,408,"no","no",0,67,26.61,103,17.37,72,6.39,2,2.67,2,"no"
"AR",89,415,"no","yes",25,140,36.57,69,16.78,117,7.29,10,2.86,1,"no"
"CT",50,408,"no","no",0,82,51.29,118,14.2,89,3.25,6,2.84,1,"no"
"IL",70,408,"no","no",0,97,35.48,83,23.42,122,8.21,3,2.16,2,"no"
"MO",138,415,"no","yes",29,87,32.32,123,18.97,130,11.53,6,3.83,0,"no"
"MA",112,415,"no","yes",17,95,31.14,125,21.49,95,7.05,3,2.62,0,"no"
"NH",117,510,"yes","no",0,100,9.21,84,25.77,84,7.73,2,2.32,1,"yes"
"IA",1,408,"no","yes",26,115,35.36,113,15.73,144,8,9,2.19,1,"no"
"AL",70,415,"no","no",0,110,39.15,87,6.62,105,11.12,4,3.56,1,"no"
"OR",87,510,"no","yes",22,102,40.94,106,6.45,115,10.11,3,1.92,2,"no"
"WV",52,510,"no","yes",21,119,33.27,95,9.03,94,7.08,3,1.43,2,"no"
"WA",97,408,"no","no",0,82,46.94,106,17.09,73,10.41,4,2.4,0,"yes"
"NV",105,408,"no","no",0,93,28.24,106,14.95,55,10.96,3,4.37,2,"no"
"NC",80,415,"yes","no",0,122,32.15,92,18.97,116,12.11,3,3.75,2,"yes"
"NH",120,510,"no","yes",43,117,30.24,70,14.88,117,7.26,4,3.11,1,"no"
"WY",54,408,"no","yes",39,73,24.46,117,17.88,117,5.81,8,3.38,2,"no"
"FL",148,510,"yes","no",0,138,25.19,123,13.57,62,8.88,3,2.32,2,"no"
"PA",119,408,"no","no",0,115,48.81,99,13.54,86,9.76,1,3.75,2,"yes"
"NC",162,408,"no","yes",26,144,30.55,129,18.54,105,9.55,8,2.51,1,"yes"
"KS",101,510,"no","yes",25,144,24.5,105,14.25,107,10.8,3,3.92,1,"no"
"KY",172,415,"no","no",0,85,29.33,71,21.51,113,9.97,6,1.59,0,"no"
"DE",80,415,"no","no",0,138,33.97,91,14.2,94,12.23,4,1.49,1,"no"
"WI",67,510,"no","no",0,134,18.55,76,12.1,86,4.1,5,2.94,2,"no"
"NM",107,415,"no","no",0,101,37.79,111,24.31,117,11.22,4,3.27,1,"yes"
"DE",133,510,"no","no",0,102,41.79,90,22.5,103,5.03,7,3.02,0,"no"
"IL",116,510,"no","no",0,110,27.98,103,23,109,10.37,3,2.16,0,"no"
"WA",63,408,"no","no",0,107,35.99,77,23.09,108,9.15,7,2,0,"no"
"MA",119,408,"yes","yes",16,103,25.02,96,13.61,120,8.28,2,2.08,0,"yes"
"OH",133,408,"yes","no",0,103,43.3,80,21.44,103,8.01,3,2.16,0,"yes"
"TN",94,408,"yes","no",0,113,28.92,94,23.1,78,4.98,4,2.35,1,"no"
"MA",69,510,"no","no",0,91,33.17,57,22.23,90,9.17,5,3.08,0,"no"
"TX",119,510,"no","no",0,75,13.92,114,21.57,125,9.59,1,2.4,2,"yes"
"NH",142,408,"yes","yes",25,109,32.49,120,12.72,60,10.25,3,2.65,0,"no"
"MD",123,408,"no","no",0,115,35.17,86,19.07,60,8.88,2,2.24,3,"no"
"AZ",43,415,"no","no",0,97,30.48,126,21.48,114,10.24,5,2.16,0,"no"
"IN",69,408,"no","no",0,91,31.5,88,18.62,107,10.96,5,1.49,0,"no"
"NY",15,510,"yes","no",0,80,24.04,76,10.53,88,14.56,3,2.19,2,"no"
"WI",107,510,"no","yes",25,91,42.26,115,10.14,83,8.74,1,3.24,1,"no"
"WV",67,510,"no","no",0,131,25.93,107,21.45,104,8.34,3,1.32,2,"no"
"NY",99,415,"no","no",0,102,24.75,87,19.63,86,8.17,7,3.08,1,"no"
"NC",55,408,"yes","no",0,115,37.57,97,14.06,117,10.59,4,2.62,1,"no"
"KY",39,415,"no","no",0,126,50.22,117,19.73,123,9.2,2,3.11,1,"yes"
"TX",92,510,"no","no",0,98,23.77,143,14.87,135,9.07,7,2.54,2,"no"
"NE",76,415,"no","no",0,97,46.36,95,20.09,105,10.6,2,2.08,0,"yes"
"HI",132,408,"yes","yes",33,75,34.05,67,19.26,91,8.95,3,3.48,2,"no"
"SC",140,510,"no","yes",28,77,26.71,97,14.65,94,8.3,9,3,1,"no"
"AK",51,510,"yes","yes",12,60,23.09,134,17.05,98,8.66,7,3.32,2,"no"
"SD",27,408,"no","no",0,110,40.24,92,19.71,85,7.41,6,3.43,1,"no"
"OK",105,510,"yes","yes",28,89,26.54,114,9.1,95,7.55,3,3.97,0,"yes"
"WA",117,408,"no","no",0,93,32.49,56,24.04,118,3.82,4,3.24,2,"no"
"VA",146,415,"no","no",0,101,34.92,77,11.47,83,13.97,2,2.78,3,"no"
"WI",147,415,"yes","no",0,111,38.28,98,15.72,146,6.44,1,2.67,0,"yes"
"IN",68,510,"no","no",0,127,42.48,118,21.63,98,12.29,6,2.4,2,"yes"
"NM",68,408,"no","no",0,89,22.37,109,11.65,107,11.53,5,2.75,3,"no"
"HI",86,408,"no","yes",21,99,33.64,100,14.08,120,9.36,9,2.73,0,"no"
"KY",131,415,"no","no",0,129,28.31,107,17.87,93,11.57,5,2.67,1,"no"
"OH",86,415,"no","yes",29,79,38.32,112,15.9,112,12.65,3,3.48,1,"no"
"VT",159,415,"no","no",0,103,46.89,108,16.11,93,10.08,5,2,2,"yes"
"AZ",134,415,"no","yes",40,105,24.29,61,7.53,96,13.05,6,2.92,1,"no"
"VT",113,510,"no","no",0,113,35.22,80,21.76,87,9.49,1,2.67,1,"no"
"MO",132,408,"no","no",0,100,35.05,118,17.95,122,8.83,6,2.75,1,"no"
"AL",85,415,"no","no",0,66,35.75,76,16.64,82,9.97,7,3.02,1,"no"
"NJ",93,510,"yes","yes",38,117,38.37,122,10.17,125,8.69,7,3.78,1,"yes"
"NY",61,415,"no","no",0,118,33.61,96,12.94,93,9.95,3,1.89,2,"no"
"NE",88,408,"no","yes",28,104,32.4,105,20.17,116,9.52,1,2.65,2,"no"
"MA",88,408,"no","yes",45,140,13.65,101,13.03,123,13.91,3,3.46,2,"no"
"VT",195,415,"no","yes",36,110,39.39,88,19.13,89,9.08,2,3.27,0,"no"
"NM",182,415,"no","no",0,114,11.75,109,19.58,96,11.55,4,1.76,0,"no"
"IL",65,510,"no","no",0,89,32.64,88,11.86,102,8.43,4,1.49,2,"no"
"UT",61,408,"no","yes",25,78,27.83,112,9.62,118,6.03,3,2.67,3,"no"
"WV",172,415,"no","no",0,100,35.99,101,16.89,136,13.58,9,1.76,1,"no"
"NJ",72,415,"no","no",0,103,29.84,120,11.25,96,10.93,3,3.19,1,"no"
"NM",113,510,"no","no",0,120,25.52,85,17.01,105,12,3,2.97,2,"no"
"ND",177,408,"no","no",0,99,32.22,117,14.99,112,10.17,2,3.83,1,"no"
"NM",67,415,"no","no",0,102,36.64,95,16.21,106,9.65,6,2.32,1,"no"
"DE",136,415,"no","no",0,105,17.29,99,17.24,119,6.13,6,2.54,3,"no"
"HI",134,408,"no","no",0,126,41.21,115,13,115,14.32,6,3.19,1,"no"
"CT",124,415,"no","no",0,82,22.41,119,24.17,101,13.75,2,3.05,1,"no"
"NJ",84,415,"no","no",0,102,32.33,141,16.8,102,11.14,6,2.65,2,"no"
"ME",39,408,"no","no",0,104,26.2,112,17.36,92,8.83,4,2.65,2,"no"
"OK",110,510,"no","no",0,127,31.96,118,7.69,64,6.76,3,4.13,3,"no"
"TN",102,510,"no","no",0,70,17.53,129,23.38,92,6.35,5,3.02,1,"no"
"WY",70,415,"no","no",0,130,29.82,130,13.56,96,11.73,4,3.13,0,"no"
"NY",142,415,"no","no",0,93,24.72,98,17.77,96,9.63,1,2.94,1,"no"
"DE",81,510,"yes","no",0,85,42.6,50,15.97,131,5.41,5,2.11,1,"no"
"RI",17,415,"no","no",0,123,27.46,81,18.21,106,14.18,5,2.32,1,"no"
"PA",119,408,"no","no",0,101,44.22,68,21.8,89,10.31,2,2.7,1,"yes"
"HI",105,415,"no","no",0,124,47.82,96,25.63,109,9.13,3,2.35,0,"yes"
"MD",108,415,"yes","yes",42,90,22.12,128,14.2,80,11.01,5,3.67,3,"yes"
"VA",90,415,"no","no",0,118,17.34,134,9.63,105,8.49,3,3.08,2,"no"
"IN",100,415,"no","yes",33,104,37.18,144,13.18,117,4.46,4,3.27,1,"no"
"OR",155,408,"no","yes",30,86,21.85,91,16.01,85,11.45,6,1.84,1,"no"
"AZ",113,510,"no","no",0,100,21.88,67,19.3,135,8.01,4,2.48,2,"yes"
"WI",123,415,"no","no",0,92,29.27,76,13.82,101,11.26,4,2.35,1,"no"
"VA",145,408,"no","no",0,124,33.86,86,10.71,135,13.01,3,2.05,1,"no"
"MO",42,415,"no","no",0,98,31.37,93,17.04,91,12.56,3,2.38,2,"no"
"NV",125,510,"no","no",0,99,28.66,107,14.93,92,10.95,7,2.94,0,"no"
"HI",131,415,"no","yes",30,118,29.58,81,17.45,90,9.82,3,1.81,1,"no"
"WA",107,415,"no","no",0,65,39.17,80,21.88,88,4.83,3,2.3,1,"no"
"IL",48,408,"no","no",0,73,33.69,115,17.24,73,6.59,5,1.38,1,"no"
"IL",76,510,"no","no",0,96,31.64,100,17.99,100,10.38,4,2.16,0,"no"
"LA",128,415,"no","no",0,105,25.25,106,20.66,114,11.48,2,1.84,1,"no"
"WI",73,415,"no","no",0,109,26.71,83,22.85,91,8.17,8,2.7,0,"no"
"MI",126,415,"yes","yes",26,123,21.98,114,15,102,6.95,7,2.59,1,"no"
"NC",124,415,"no","no",0,77,32.05,123,15.47,127,9.82,6,1.65,1,"no"
"WA",137,408,"no","no",0,120,35.5,100,19.15,130,9.97,5,3,0,"no"
"ND",71,510,"no","no",0,82,40.46,94,23.67,134,8.69,10,3.19,0,"yes"
"NE",139,415,"no","no",0,103,35.89,108,17.59,70,8.73,4,1.51,0,"no"
"MS",107,510,"no","yes",30,87,33.81,90,17.6,76,7.19,4,3.4,3,"no"
"KY",147,408,"no","no",0,79,36.18,91,17.35,113,7.03,2,2.75,1,"no"
"RI",116,510,"no","no",0,126,23.36,94,10.2,64,5.86,2,3.35,3,"no"
"NY",60,510,"no","yes",31,75,32.61,135,22.76,62,9.02,3,3.46,2,"no"
"DE",63,408,"no","no",0,118,19.91,90,21.22,84,7.3,4,3,3,"no"
"NM",94,415,"no","no",0,79,18.36,152,20.56,92,11.34,3,2.81,3,"no"
"RI",131,415,"no","no",0,133,19.18,116,16.95,105,6.42,5,2.73,0,"no"
"MS",158,510,"no","no",0,105,29.9,88,16.01,98,8.47,6,2.97,1,"no"
"NY",139,510,"no","no",0,109,40.22,107,14.44,118,9.55,2,3,1,"yes"
"WI",140,415,"no","no",0,79,22.03,99,20.93,124,7.74,10,2.54,3,"no"
"KY",72,408,"no","no",0,97,30.11,105,15.7,94,7.83,6,2.16,1,"no"
"SD",52,510,"no","yes",20,63,22.66,123,15.65,107,12.28,2,3.65,1,"no"
"KS",74,415,"no","yes",32,107,29.68,115,26.4,92,10.56,4,2.43,1,"no"
"ND",124,415,"no","no",0,101,25.55,112,21.75,62,6.15,4,3.38,2,"no"
"WA",71,408,"no","no",0,132,24,90,12.67,72,7.71,2,1.89,2,"no"
"NV",177,415,"no","yes",27,106,39.13,78,16.67,108,9.69,2,2.81,1,"no"
"SC",49,415,"yes","no",0,92,40.43,119,17.76,86,7.55,6,4.21,2,"yes"
"RI",106,510,"yes","no",0,84,34.68,61,14.32,102,7.38,3,3.59,3,"yes"
"ID",60,510,"no","no",0,106,37.59,48,15.18,90,9.12,3,2,1,"no"
"ME",66,510,"no","no",0,133,20.06,99,21.09,122,9.65,5,1.43,1,"no"
"SD",125,415,"no","no",0,73,27.85,85,21.73,95,8.68,4,4.24,0,"no"
"SC",114,510,"no","yes",4,96,24.02,88,19.58,85,10.07,3,2.54,3,"no"
"TN",112,415,"no","no",0,119,46.33,94,19.22,94,7.16,5,4.43,3,"yes"
"MT",101,408,"no","yes",16,112,20.21,97,19.41,111,8.1,5,2.21,2,"no"
"AK",59,408,"no","no",0,96,27.12,123,14.21,106,6.24,4,2.75,0,"no"
"AZ",59,408,"no","no",0,70,25.53,98,15.78,128,9.56,2,3.27,1,"no"
"DE",99,415,"no","no",0,88,23.92,98,17.93,125,10.35,4,3.35,2,"no"
"VA",150,510,"no","no",0,123,28.76,83,18.43,107,8.07,3,3.4,1,"no"
"MA",81,510,"no","no",0,77,37.54,87,12.62,100,8.28,3,2.05,2,"no"
"IN",86,510,"no","no",0,96,36.77,77,22.64,110,9.63,3,1.22,0,"no"
"MD",84,510,"no","no",0,96,28.82,94,13.4,70,4.42,7,2.86,0,"no"
"NV",118,510,"no","yes",35,119,43.57,91,21.94,130,9.7,1,3.16,1,"no"
"CO",89,415,"no","no",0,128,30.55,92,25.48,120,8.34,3,2.05,1,"no"
"KS",93,415,"no","no",0,120,45.22,84,11.06,63,7.46,6,3.54,3,"no"
"AR",85,415,"no","no",0,97,16.44,95,16.47,88,7.73,3,2.62,2,"no"
"WY",160,408,"no","no",0,116,14.06,95,16.54,54,7.15,9,2.94,0,"no"
"PA",28,415,"no","no",0,87,28.59,92,13.74,112,8.66,3,2.73,3,"no"
"NY",156,408,"no","no",0,95,29.63,128,15.86,105,11.62,5,3.48,3,"no"
"OR",33,415,"yes","no",0,100,32.4,104,13.74,136,8.55,6,3.51,1,"no"
"NY",119,415,"no","no",0,102,22.68,71,17.39,103,8.86,7,3,1,"no"
"AR",91,510,"no","yes",27,96,34.78,93,11.56,82,9.47,2,1.78,3,"no"
"MI",102,510,"no","no",0,88,41.17,89,19.82,121,8.48,6,1.67,3,"no"
"OK",86,415,"no","yes",33,112,43.03,94,17.86,98,4.27,4,3.21,3,"no"
"TX",82,415,"no","no",0,110,22.1,88,15.75,105,8.04,4,2.24,0,"no"
"NC",89,408,"no","no",0,151,18,142,16.12,67,7.69,7,3.43,0,"no"
"ID",86,415,"no","no",0,98,33.01,95,16.47,123,8.64,7,2.51,3,"no"
"IL",134,408,"no","no",0,111,31.25,92,10.5,105,7.23,2,1.65,1,"no"
"OR",92,415,"no","no",0,82,33.41,89,16.15,99,7.34,2,2.92,2,"no"
"SD",87,510,"no","no",0,81,31.37,103,14.62,96,8.25,3,3.7,3,"no"
"NE",64,408,"no","no",0,113,44.52,99,12.59,74,6.53,4,3.73,0,"no"
"RI",80,510,"no","no",0,118,34.41,67,22.12,112,7.98,5,2.48,3,"no"
"MD",165,415,"no","yes",39,113,28.46,94,14.68,113,8.67,4,2.57,3,"no"
"ME",41,415,"no","yes",30,109,32.59,86,16.41,93,6.72,4,3,1,"no"
"SD",108,415,"no","no",0,78,40.83,109,19.58,83,9.76,1,1.4,2,"no"
"NY",104,415,"no","yes",26,112,32.15,97,15.15,104,8.97,4,3,1,"no"
"DE",115,408,"no","no",0,67,21.71,90,15.55,92,7.78,7,2.86,1,"no"
"OK",87,415,"no","no",0,106,34.88,122,8.46,75,8.53,3,3.62,1,"no"
"SC",159,415,"no","yes",23,93,26.11,88,18.44,91,7.26,3,3.4,2,"no"
"IN",119,510,"no","no",0,129,26.27,87,16.46,145,8.14,3,3.62,2,"no"
"NV",69,415,"no","no",0,109,26.13,105,16.49,114,11.52,6,3.81,1,"no"
"IL",87,408,"yes","yes",36,138,29.1,102,15.79,97,10.24,3,2.92,1,"no"
"OK",154,415,"yes","no",0,69,24.8,141,17.7,106,8.14,10,3.89,0,"yes"
"KS",57,415,"no","yes",37,76,34.2,122,23.81,110,6.94,1,3.19,1,"no"
